settle_date,net_bills
2026-10-01,61367.0
2026-10-08,34442.0
2026-10-15,-39534.0
2026-10-22,10449.0
2026-10-29,101448.0
2026-11-05,3282.0
2026-11-12,120007.0
2026-11-19,50388.0
2026-12-03,19777.0
2026-12-10,-157032.0
2026-12-17,13336.0
2026-12-24,-16849.0
2026-12-31,-38212.0
2027-01-07,1420.0
2027-01-14,-20242.0
2027-01-21,-1550.0
2027-01-28,160165.0
2027-02-04,70328.0
2027-02-11,92748.0
2027-02-18,65313.0
2027-02-25,45936.0
2027-03-04,42871.0
2027-03-11,-26978.0
2027-03-18,39765.0
2027-03-25,-68889.0
2027-04-01,9860.0
2027-04-08,-53677.0
2027-04-15,-176434.0
2027-04-22,-52493.0
2027-04-29,76779.0
2027-05-06,36982.0
2027-05-13,110664.0
2027-05-20,33828.0
2027-05-27,13488.0
2027-06-03,32464.0
2027-06-10,-138053.0
2027-06-17,24571.0
2027-06-24,-94433.0
2027-07-01,114650.0
2027-07-08,40016.0
2027-07-15,5187.0
2027-07-22,36370.0
2027-07-29,143372.0
2027-08-05,49851.0
2027-08-12,114027.0
2027-08-19,46135.0
2027-08-26,-1744.0
2027-09-02,48672.0
2027-09-09,-159488.0
2027-09-16,-19667.0
2027-09-23,-29468.0
2027-09-30,-28359.0
2027-10-07,35025.0
2027-10-14,-6107.0
2027-10-21,7168.0
2027-10-28,142302.0
2027-11-04,157597.0
2027-11-18,66737.0
2027-12-02,43806.0
2027-12-09,-127328.0
2027-12-16,8670.0
2027-12-23,-14330.0
2027-12-30,6815.0
