category,fy,dts_built,mts,cbo,dts_vs_cbo_pct,mts_vs_cbo_pct
income_payroll,2024,4048491.0,4135625.47376229,4134993.0,-2.0919503370380554,0.015295642877511197
income_payroll,2025,4326629.0,4404338.259238481,4404338.0,-1.764374123875143,5.885980607988848e-06
corporate,2024,522746.0,529866.80263757,529867.0,-1.3439221540499786,-3.7247541372542516e-05
corporate,2025,443428.0,452089.30341978,452089.0,-1.9157732216444106,6.711505477597179e-05
excise,2024,102771.0,101435.32669724,101436.0,1.3161007926180055,-0.000663771008319017
excise,2025,112917.0,105936.46530763,105936.0,6.58982782057091,0.00043923466055157507
estate_gift,2024,32923.0,31615.87610898,31616.0,4.133982793522267,-0.0003918617788489472
estate_gift,2025,30475.0,29462.04509045,29462.0,3.4383273369085603,0.0001530461272127035
customs,2024,95653.0,77036.90994489,77036.0,24.16662339685342,0.0011811943636666257
customs,2025,215235.0,194865.73987282,194866.0,10.452823991871337,-0.00013349028562910668
misc_receipts,2024,5690.0,43167.45033931,44935.0,-87.33726493824413,-3.9335699581395303
misc_receipts,2025,10312.0,47914.31343327,47925.0,-78.4830464267084,-0.02229852212832713
total_receipts,2024,4808274.0,4918747.83949028,4919883.0,-2.2685295564955505,-0.023072916768964724
total_deficit,2024,1344992.0,1827728.16010457,1830973.0,-26.542226455551226,-0.17721942898284251
total_receipts,2025,5138996.0,5234606.12636243,5234616.0,-1.8266860453565268,-0.00018862200341091383
total_deficit,2025,1628178.0,1775711.46122573,1775370.0,-8.290778823569172,0.019233242970755467
social_security,2024,1293434.0,,1454382.0,-11.066418588788915,
medicare_net,2024,1011080.0,,1043790.0,-3.133772118912808,
medicaid,2024,616138.0,,617517.0,-0.22331369014942098,
net_interest,2024,501518.0,949203.7514596,879879.0,-43.00148088543993,7.878896014065577
social_security,2025,1398604.0,,1575309.0,-11.217164378544146,
medicare_net,2025,1160354.0,,1179972.0,-1.6625818239754842,
medicaid,2025,666366.0,,668134.0,-0.26461757671365327,
net_interest,2025,609232.0,1028058.61025237,969938.0,-37.18856256791671,5.992198496436886
