side,bucket,fy,usd_mn
outlay,defence,2026,884513.0
outlay,defence,2027,901101.0
outlay,defence,2028,928172.0
outlay,defence,2029,938416.0
outlay,defence,2030,965808.0
outlay,defence,2031,985535.0
outlay,defence,2032,1006461.0
outlay,defence,2033,1034483.0
outlay,defence,2034,1050676.0
outlay,defence,2035,1068288.0
outlay,defence,2036,1100000.0
outlay,education_training,2026,151419.0
outlay,education_training,2027,139681.0
outlay,education_training,2028,136276.0
outlay,education_training,2029,138201.0
outlay,education_training,2030,140527.0
outlay,education_training,2031,143207.0
outlay,education_training,2032,146216.0
outlay,education_training,2033,149302.0
outlay,education_training,2034,152188.0
outlay,education_training,2035,155075.0
outlay,education_training,2036,158002.0
outlay,health_other,2026,281845.0
outlay,health_other,2027,266002.0
outlay,health_other,2028,264715.0
outlay,health_other,2029,273395.0
outlay,health_other,2030,280279.0
outlay,health_other,2031,284873.0
outlay,health_other,2032,292780.0
outlay,health_other,2033,299759.0
outlay,health_other,2034,308569.0
outlay,health_other,2035,320736.0
outlay,health_other,2036,334875.0
outlay,income_security_retirement,2026,716173.0
outlay,income_security_retirement,2027,719909.0
outlay,income_security_retirement,2028,738956.0
outlay,income_security_retirement,2029,724329.0
outlay,income_security_retirement,2030,749788.0
outlay,income_security_retirement,2031,763665.0
outlay,income_security_retirement,2032,781336.0
outlay,income_security_retirement,2033,810655.0
outlay,income_security_retirement,2034,814805.0
outlay,income_security_retirement,2035,813482.0
outlay,income_security_retirement,2036,846175.0
outlay,medicaid,2026,707865.0
outlay,medicaid,2027,726198.0
outlay,medicaid,2028,746038.0
outlay,medicaid,2029,753511.0
outlay,medicaid,2030,776778.0
outlay,medicaid,2031,803767.0
outlay,medicaid,2032,833971.0
outlay,medicaid,2033,870449.0
outlay,medicaid,2034,905377.0
outlay,medicaid,2035,941145.0
outlay,medicaid,2036,980505.0
outlay,medicare_net,2026,1062951.0
outlay,medicare_net,2027,1139919.0
outlay,medicare_net,2028,1284490.0
outlay,medicare_net,2029,1203992.0
outlay,medicare_net,2030,1356139.0
outlay,medicare_net,2031,1436782.0
outlay,medicare_net,2032,1526204.0
outlay,medicare_net,2033,1755160.0
outlay,medicare_net,2034,1759254.0
outlay,medicare_net,2035,1732821.0
outlay,medicare_net,2036,1969605.0
outlay,net_interest,2026,1038976.0
outlay,net_interest,2027,1107715.0
outlay,net_interest,2028,1217824.0
outlay,net_interest,2029,1324496.0
outlay,net_interest,2030,1431836.0
outlay,net_interest,2031,1548383.0
outlay,net_interest,2032,1670447.0
outlay,net_interest,2033,1784364.0
outlay,net_interest,2034,1903751.0
outlay,net_interest,2035,2019072.0
outlay,net_interest,2036,2144336.0
outlay,nondefense_other,2026,503253.0
outlay,nondefense_other,2027,552760.0
outlay,nondefense_other,2028,464299.0
outlay,nondefense_other,2029,536159.0
outlay,nondefense_other,2030,498195.0
outlay,nondefense_other,2031,469125.0
outlay,nondefense_other,2032,462082.0
outlay,nondefense_other,2033,457424.0
outlay,nondefense_other,2034,474127.0
outlay,nondefense_other,2035,478264.0
outlay,nondefense_other,2036,490305.0
outlay,social_security,2026,1665942.0
outlay,social_security,2027,1768983.0
outlay,social_security,2028,1875116.0
outlay,social_security,2029,1978541.0
outlay,social_security,2030,2082769.0
outlay,social_security,2031,2189776.0
outlay,social_security,2032,2298339.0
outlay,social_security,2033,2408571.0
outlay,social_security,2034,2519408.0
outlay,social_security,2035,2631845.0
outlay,social_security,2036,2746540.0
outlay,veterans,2026,435682.0
outlay,veterans,2027,450133.0
outlay,veterans,2028,495240.0
outlay,veterans,2029,468464.0
outlay,veterans,2030,513522.0
outlay,veterans,2031,530075.0
outlay,veterans,2032,551264.0
outlay,veterans,2033,602044.0
outlay,veterans,2034,599268.0
outlay,veterans,2035,590169.0
outlay,veterans,2036,645799.0
receipt,corporate,2026,403979.00000000006
receipt,corporate,2027,419298.0
receipt,corporate,2028,432534.00000000006
receipt,corporate,2029,451539.0000000001
receipt,corporate,2030,477340.00000000006
receipt,corporate,2031,493465.0000000001
receipt,corporate,2032,509962.00000000006
receipt,corporate,2033,525923.0000000001
receipt,corporate,2034,539067.0
receipt,corporate,2035,551906.0000000002
receipt,corporate,2036,575645.0
receipt,customs,2026,418388.0
receipt,customs,2027,421103.0
receipt,customs,2028,423589.99999999994
receipt,customs,2029,417458.0
receipt,customs,2030,412427.0
receipt,customs,2031,405242.0
receipt,customs,2032,389307.0
receipt,customs,2033,382306.99999999994
receipt,customs,2034,381592.0
receipt,customs,2035,390098.0
receipt,customs,2036,402356.0
receipt,estate_gift,2026,36405.0
receipt,estate_gift,2027,35206.99999999999
receipt,estate_gift,2028,35861.0
receipt,estate_gift,2029,35609.0
receipt,estate_gift,2030,36166.00000000001
receipt,estate_gift,2031,37441.0
receipt,estate_gift,2032,39227.99999999999
receipt,estate_gift,2033,41391.00000000001
receipt,estate_gift,2034,43988.99999999999
receipt,estate_gift,2035,47152.000000000015
receipt,estate_gift,2036,50675.00000000001
receipt,excise,2026,108344.0
receipt,excise,2027,108196.0
receipt,excise,2028,106722.00000000001
receipt,excise,2029,108028.0
receipt,excise,2030,110012.99999999999
receipt,excise,2031,109556.0
receipt,excise,2032,110831.0
receipt,excise,2033,112449.99999999999
receipt,excise,2034,112929.0
receipt,excise,2035,116393.0
receipt,excise,2036,118642.0
receipt,individual_income,2026,2751291.0000000005
receipt,individual_income,2027,2947025.0000000005
receipt,individual_income,2028,3044174.0000000005
receipt,individual_income,2029,3193323.0000000005
receipt,individual_income,2030,3338979.0000000005
receipt,individual_income,2031,3461053.0
receipt,individual_income,2032,3594393.0
receipt,individual_income,2033,3743854.0000000005
receipt,individual_income,2034,3902609.0
receipt,individual_income,2035,4071909.0000000005
