date,receipts,outlays,deficit,cum_deficit
2026-07-01,28839.0,118275.0,89436.0,89436.0
2026-07-02,12639.0,25430.0,12791.0,102227.0
2026-07-03,11632.0,25469.0,13837.0,116064.0
2026-07-06,26440.0,14030.0,-12410.0,103654.0
2026-07-07,10467.0,14861.0,4394.0,108048.0
2026-07-08,11921.0,55307.0,43386.0,151434.0
2026-07-09,8091.0,16240.0,8149.0,159583.0
2026-07-10,13534.0,15288.0,1754.0,161337.0
2026-07-13,26440.0,14030.0,-12410.0,148927.0
2026-07-14,10467.0,14861.0,4394.0,153321.0
2026-07-15,36332.0,87360.0,51028.0,204349.0
2026-07-16,23382.0,22248.0,-1134.0,203215.0
2026-07-17,13534.0,15288.0,1754.0,204969.0
2026-07-20,26440.0,14030.0,-12410.0,192559.0
2026-07-21,10467.0,14861.0,4394.0,196953.0
2026-07-22,13722.0,53291.0,39569.0,236522.0
2026-07-23,8091.0,16240.0,8149.0,244671.0
2026-07-24,13534.0,15288.0,1754.0,246425.0
2026-07-27,26440.0,14030.0,-12410.0,234015.0
2026-07-28,10467.0,14861.0,4394.0,238409.0
2026-07-29,12324.0,13270.0,945.0,239354.0
2026-07-30,11115.0,16459.0,5345.0,244699.0
2026-07-31,14696.0,105203.0,90507.0,335206.0
2026-08-03,43209.0,73081.0,29872.0,365078.0
2026-08-04,14212.0,25632.0,11421.0,376499.0
2026-08-05,13147.0,25660.0,12513.0,389012.0
2026-08-06,9256.0,19709.0,10453.0,399465.0
2026-08-07,15058.0,18620.0,3562.0,403027.0
2026-08-10,30087.0,17493.0,-12594.0,390433.0
2026-08-11,12089.0,18095.0,6006.0,396439.0
2026-08-12,13102.0,48731.0,35630.0,432069.0
2026-08-13,9256.0,19709.0,10453.0,442522.0
2026-08-14,15058.0,18620.0,3562.0,446084.0
2026-08-17,35078.0,71798.0,36720.0,482804.0
2026-08-18,25995.0,23299.0,-2696.0,480108.0
2026-08-19,16322.0,49128.0,32806.0,512914.0
2026-08-20,9256.0,19709.0,10453.0,523367.0
2026-08-21,15058.0,18620.0,3562.0,526929.0
2026-08-24,30087.0,17493.0,-12594.0,514335.0
2026-08-25,12089.0,18095.0,6006.0,520341.0
2026-08-26,15959.0,47639.0,31680.0,552021.0
2026-08-27,9256.0,19709.0,10453.0,562474.0
2026-08-28,12443.0,19262.0,6819.0,569293.0
2026-08-31,16479.0,50266.0,33787.0,603080.0
2026-09-01,46291.0,71612.0,25321.0,628401.0
2026-09-02,19744.0,24745.0,5001.0,633402.0
2026-09-03,17969.0,24476.0,6507.0,639909.0
2026-09-04,23294.0,14231.0,-9062.0,630847.0
2026-09-08,16146.0,14095.0,-2052.0,628795.0
2026-09-09,22274.0,55509.0,33236.0,662031.0
2026-09-10,13876.0,15171.0,1295.0,663326.0
2026-09-11,23294.0,14231.0,-9062.0,654264.0
2026-09-14,41239.0,13046.0,-28192.0,626072.0
2026-09-15,89523.0,17222.0,-72302.0,553770.0
2026-09-16,37981.0,21389.0,-16591.0,537179.0
2026-09-17,13876.0,15171.0,1295.0,538474.0
2026-09-18,23294.0,14231.0,-9062.0,529412.0
2026-09-21,41239.0,13046.0,-28192.0,501220.0
2026-09-22,16146.0,14095.0,-2052.0,499168.0
2026-09-23,20689.0,53093.0,32404.0,531572.0
2026-09-24,13876.0,15171.0,1295.0,532867.0
2026-09-25,23294.0,14231.0,-9062.0,523805.0
2026-09-28,41239.0,13046.0,-28192.0,495613.0
2026-09-29,17834.0,15187.0,-2647.0,492966.0
2026-09-30,22407.0,5471.0,-16936.0,476030.0
2026-10-01,37500.0,96304.0,58804.0,534834.0
2026-10-02,16423.0,22776.0,6354.0,541188.0
2026-10-05,15127.0,22333.0,7207.0,548395.0
2026-10-06,13169.0,14930.0,1761.0,550156.0
2026-10-07,15923.0,12394.0,-3529.0,546627.0
2026-10-08,10310.0,16000.0,5691.0,552318.0
2026-10-09,17175.0,14965.0,-2209.0,550109.0
2026-10-13,13169.0,14930.0,1761.0,551870.0
2026-10-14,15174.0,45851.0,30677.0,582547.0
2026-10-15,45824.0,82370.0,36547.0,619094.0
2026-10-16,30378.0,20264.0,-10115.0,608979.0
2026-10-19,34033.0,13879.0,-20154.0,588825.0
2026-10-20,13169.0,14930.0,1761.0,590586.0
2026-10-21,18781.0,45995.0,27213.0,617799.0
2026-10-22,10310.0,16000.0,5691.0,623490.0
2026-10-23,17175.0,14965.0,-2209.0,621281.0
2026-10-26,34033.0,13879.0,-20154.0,601127.0
2026-10-27,13169.0,14930.0,1761.0,602888.0
2026-10-28,17246.0,44439.0,27192.0,630080.0
2026-10-29,14180.0,15476.0,1296.0,631376.0
2026-10-30,18821.0,89841.0,71020.0,702396.0
2026-11-02,44602.0,72641.0,28039.0,730435.0
2026-11-03,14684.0,28083.0,13398.0,743833.0
2026-11-04,13563.0,27950.0,14387.0,758220.0
2026-11-05,9451.0,19465.0,10014.0,768234.0
2026-11-06,15722.0,19321.0,3600.0,771834.0
2026-11-09,31137.0,17294.0,-13843.0,757991.0
2026-11-10,12733.0,17666.0,4933.0,762924.0
2026-11-12,9451.0,19465.0,10014.0,772938.0
2026-11-13,15722.0,19321.0,3600.0,776538.0
2026-11-16,36802.0,72704.0,35902.0,812440.0
2026-11-17,26850.0,24837.0,-2013.0,810427.0
2026-11-18,13419.0,56819.0,43400.0,853827.0
2026-11-19,9451.0,19465.0,10014.0,863841.0
2026-11-20,15722.0,19321.0,3600.0,867441.0
2026-11-23,31137.0,17294.0,-13843.0,853598.0
2026-11-24,12733.0,17666.0,4933.0,858531.0
2026-11-25,16859.0,56641.0,39782.0,898313.0
2026-11-27,12958.0,19147.0,6188.0,904501.0
2026-11-30,17055.0,47844.0,30789.0,935290.0
2026-12-01,40218.0,99643.0,59424.0,994714.0
2026-12-02,17065.0,25615.0,8550.0,1003264.0
2026-12-03,15502.0,25450.0,9948.0,1013212.0
2026-12-04,20229.0,14964.0,-5265.0,1007947.0
2026-12-07,35462.0,14064.0,-21397.0,986550.0
2026-12-08,13695.0,14783.0,1089.0,987639.0
2026-12-09,19539.0,56808.0,37269.0,1024908.0
