x,order,regime,n_months,mean,p25,p75
bd1,0,regular,23,53.92508695652174,0.6419999999999995,83.58699999999999
bd2,1,regular,23,59.17391304347825,19.0545,88.94850000000001
bd3,2,regular,23,70.28408695652173,26.429499999999997,96.21549999999999
bd4,3,regular,23,71.9478695652174,37.581,101.79600000000002
bd5,4,regular,23,74.91913043478262,43.692499999999995,103.99200000000002
bd6,5,regular,23,80.3407391304348,24.57,111.558
bd7,6,regular,23,89.908,43.18149999999999,122.6115
bd8,7,regular,23,104.65108695652175,66.36550000000001,141.23250000000002
bd9,8,regular,23,108.57104347826085,74.69000000000001,141.4975
bd10,9,regular,23,113.96113043478263,93.67699999999999,140.05
bd11,10,regular,23,140.74830434782606,104.49350000000004,196.59449999999998
bd12,11,regular,23,142.68204347826088,110.15400000000002,198.91299999999998
bd13,12,regular,23,148.2063913043478,111.01250000000002,198.54450000000003
bd14,13,regular,23,158.0073043478261,118.744,204.98
bd15,14,regular,23,168.63813043478262,136.8685,221.151
bd16,15,regular,23,168.13743478260872,129.82000000000002,217.08550000000002
bd17,16,regular,23,179.32421739130436,136.565,228.726
bd18,17,regular,23,188.70269565217393,134.47500000000002,245.6525
eom,18,regular,23,242.58934782608696,174.824,314.36350000000004
bd1,0,tax,17,49.91794117647059,3.298000000000002,85.346
bd2,1,tax,17,58.8119411764706,29.74000000000001,83.36699999999999
bd3,2,tax,17,65.87529411764706,29.941000000000006,95.86600000000001
bd4,3,tax,17,68.62070588235295,35.23900000000001,102.01300000000002
bd5,4,tax,17,69.19817647058824,40.385999999999996,97.506
bd6,5,tax,17,65.79358823529412,27.55,90.724
bd7,6,tax,17,73.1809411764706,37.571,105.275
bd8,7,tax,17,80.50235294117647,48.048,102.218
bd9,8,tax,17,69.62152941176473,32.506,90.82700000000001
bd10,9,tax,17,30.578176470588247,-10.177999999999994,75.46300000000001
bd11,10,tax,17,-29.294058823529408,-99.996,37.38700000000001
bd12,11,tax,17,-47.97935294117647,-84.85600000000001,24.56900000000003
bd13,12,tax,17,-47.98717647058823,-87.277,23.886000000000017
bd14,13,tax,17,-46.02641176470587,-80.886,47.499000000000024
bd15,14,tax,17,-53.16588235294117,-102.82,46.648
bd16,15,tax,17,-66.52929411764705,-101.75699999999999,36.38800000000005
bd17,16,tax,17,-60.90347058823529,-81.41999999999999,30.305000000000007
bd18,17,tax,17,-48.754882352941166,-68.43599999999998,53.78400000000002
eom,18,tax,17,-29.66764705882352,-79.39099999999998,110.85200000000005
