,receipt,receipt,receipt,receipt,receipt,receipt,outlay,outlay,outlay,outlay,outlay,outlay,outlay,outlay,outlay,outlay
,income_payroll,corporate,excise,estate_gift,customs,misc_receipts,social_security,medicare_net,medicaid,defence,net_interest,veterans,income_security_retirement,education_training,health_other,nondefense_other
month,,,,,,,,,,,,,,,,
2023-03,270085,13363,8435,2437,7458,1842,102187,126535,63836,34700,12453,33106,53275,17852,10382,150668
2023-04,537318,88702,8221,2117,7664,1074,102444,31472,48538,28043,3983,7553,39316,13628,7344,106276
2023-05,285799,8042,8424,3113,7823,1184,102667,83587,56923,31737,81511,21506,46277,17137,7036,136158
2023-06,337949,71060,8213,1603,7909,1288,102804,147554,54096,31998,13462,32241,48784,19599,10044,124438
2023-07,256515,9813,9129,1269,8279,2075,102966,31659,46818,27545,24494,8322,37926,13714,7459,102708
2023-08,252898,5254,8749,3084,7979,1198,103216,83679,48196,32805,67131,21291,43799,28211,4288,102323
2023-09,342839,93346,11577,1894,8104,1100,103211,127273,50086,35256,2117,34037,47095,28895,12679,157639
2023-10,332958,49596,7844,4313,8142,343,104435,34065,45505,39556,38236,9327,39537,19365,10176,88551
2023-11,253429,8488,8280,2577,7645,474,103541,89923,49464,45267,68863,21738,49325,15830,12063,126189
2023-12,314269,93083,7751,2702,7191,292,104150,75699,52423,60411,2467,34700,59437,15531,10956,71135
2024-01,434658,17898,7465,2035,7968,337,107284,93793,45800,36299,40478,9194,40989,39073,8408,65206
2024-02,208256,5564,7721,1731,7880,186,107787,84468,53638,41177,74089,22066,49872,24059,10721,68347
2024-03,276035,15686,7808,2064,7440,375,108713,78327,56183,47462,3319,21005,49981,15061,10716,73667
2024-04,642342,109319,8636,4243,7744,640,108927,86083,50813,43428,44299,24760,51352,17212,10422,72021
2024-05,288177,10618,8451,3620,7712,804,109069,154282,52557,50054,76376,37930,61430,16686,9530,75309
2024-06,361781,81707,7948,2072,7564,721,109486,33545,51003,41668,3541,8727,37616,18557,10100,68159
2024-07,283677,21383,9301,1605,8661,586,109639,104335,46911,45372,46367,23634,52469,14901,10327,81283
2024-08,262854,4609,8544,3478,8906,515,110106,140646,53514,51899,64469,37476,60897,28467,4701,87059
2024-09,390055,104795,13022,2483,8800,417,110297,35914,58327,48126,39014,11182,37868,29329,15483,73265
2024-10,289987,15864,11246,2650,8962,1619,111212,91957,52573,46961,34326,25695,48904,19395,10366,83561
2024-11,273804,6888,8335,2140,8377,481,110895,145405,51207,54156,66452,39544,57554,13181,10452,107375
2024-12,356613,88176,7548,1592,8281,604,110765,39161,54807,60793,42075,25052,48428,14544,10617,115854
2025-01,447797,21957,9084,2405,8964,571,113235,147539,51061,46318,34508,25845,50773,45653,9860,92800
2025-02,215330,9059,7543,2064,8934,1515,114177,88788,52475,43687,89291,26359,46599,15448,12339,80851
2025-03,318025,17057,7645,1607,9620,820,129793,39096,56379,48524,24069,11596,39373,12305,12460,77527
2025-04,700327,118743,13031,3911,17431,761,117083,94968,57774,50476,36957,27494,48619,11127,11842,91901
2025-05,314965,19103,8795,3329,23969,762,117880,162151,58079,53812,71974,43146,59947,11760,9536,86358
2025-06,419306,67022,7936,2944,28021,1129,118525,37272,54724,46801,47320,11511,37110,12524,11080,88132
2025-07,282894,13736,9943,2000,29633,732,117828,114111,61929,52905,38266,26994,49311,11277,11264,89016
2025-08,279898,3323,8546,2505,31367,695,118466,154872,54026,53051,75508,42147,56271,21743,7186,93060
2025-09,427683,62500,13265,3328,31676,623,118745,45034,61332,51232,48486,12338,37472,27164,16094,70168
2025-10,343319,16526,6794,3953,34245,1570,119730,164958,55403,49198,40382,44882,58736,13870,15764,72704
2025-11,282469,6683,8464,2815,32866,831,119153,38101,54852,43525,77534,9421,34921,10177,12678,80755
2025-12,378699,61591,8198,1728,30377,2032,119160,91979,65173,78281,52586,44865,61029,10979,10774,78097
2026-01,479501,25775,9105,3742,30467,395,121718,164092,51596,49377,11872,27239,48125,32345,10007,71740
2026-02,219151,895,7860,2643,28614,715,122195,89703,56907,48039,109481,29438,47198,20584,12706,67152
2026-03,321093,10535,7894,5372,25098,1100,123397,38956,67472,51006,52608,12426,39220,13352,12637,80615
2026-04,708012,77138,13845,5030,24776,1549,123296,102725,55815,54628,42038,29472,50447,10759,11328,83506
2026-05,298207,12285,9027,4983,23546,1513,123816,100712,62394,51250,82096,28423,48325,10848,7771,97927
2026-06,431205,70614,8165,2724,24831,1861,124098,119849,68034,58147,55938,30063,47784,14149,13385,118805
