month,proj_receipts,proj_outlays,proj_deficit,actual_mts_deficit,actual_dts_deficit
2025-10,413633.0,539981.0,126348.0,284350.0,229220.0
2025-11,333792.0,709179.0,375387.0,173277.0,146989.0
2025-12,479175.0,572442.0,93267.0,144749.0,130298.0
2026-01,539427.0,609158.0,69731.0,94615.0,39126.0
2026-02,278346.0,669140.0,390794.0,307501.0,343525.0
2026-03,377352.0,517799.0,140447.0,164100.0,120597.0
2026-04,884034.0,612032.0,-272002.0,-215024.0,-266336.0
2026-05,400703.0,782185.0,381481.0,292648.0,264001.0
2026-06,549190.0,478315.0,-70875.0,120305.0,110852.0
2026-07,388513.0,638092.0,249579.0,,
2026-08,366005.0,762743.0,396738.0,,
2026-09,585746.0,557554.0,-28192.0,,
