month,proj_receipts,proj_outlays,proj_deficit,actual_mts_deficit
2025-10,400561.0,536864.0,136303.0,284350.0507828
2025-11,342543.0,649913.0,307370.0,173277.17507692002
2025-12,515896.0,638936.0,123041.0,144749.23560928
2026-01,554312.0,569092.0,14781.0,94615.16236921
2026-02,305596.0,660491.0,354895.0,307501.43342616997
2026-03,372813.0,663040.0,290227.0,164100.33881786
2026-04,844620.0,617666.0,-226955.0,-215024.14019777
2026-05,381461.0,658042.0,276582.0,292648.46208374
2026-06,539080.0,639517.0,100437.0,120305.27558637
2026-07,381015.0,628267.0,247252.0,
2026-08,372497.0,728319.0,355822.0,
2026-09,585522.0,458470.0,-127052.0,
