month,bills_bn,total_bn,bill_share_pct,wam_months,gross_coupons_bn,net_bills_bn
2026-10,7288.86,31795.5,22.92,69.42,371.0,168.17
2026-11,7462.54,32018.25,23.31,69.21,371.0,173.68
2026-12,7283.56,31985.6,22.77,69.41,367.0,-178.98
2027-01,7423.35,32085.59,23.14,69.38,366.0,139.79
2027-02,7697.68,32391.75,23.76,69.08,361.0,274.32
2027-03,7684.44,32514.76,23.63,68.97,362.0,-13.23
2027-04,7488.48,32326.42,23.17,69.52,371.0,-195.96
2027-05,7683.44,32558.5,23.6,69.26,371.0,194.96
2027-06,7507.99,32516.02,23.09,69.49,367.0,-175.45
2027-07,7847.59,32836.86,23.9,69.0,366.0,339.6
2027-08,8055.85,33065.73,24.36,68.77,360.0,208.27
2027-09,7867.54,33006.99,23.84,69.05,362.0,-188.31
2027-10,8045.93,33186.4,24.24,68.82,371.0,178.39
2027-11,8270.27,33426.55,24.74,68.57,371.0,224.33
2027-12,8187.9,33464.65,24.47,68.6,367.0,-82.37
