date,total_bn,bills_bn,bill_share_pct,wam_months,bills_wam_years
2015-03-31,12743.37,1477.9,11.6,68.77,0.24
2015-06-30,12812.01,1394.99,10.89,69.56,0.26
2015-09-30,12948.41,1358.0,10.49,69.78,0.25
2015-12-31,13295.9,1513.96,11.39,68.8,0.23
2016-03-31,13531.77,1617.96,11.96,68.77,0.24
2016-06-30,13518.45,1507.95,11.15,69.98,0.24
2016-09-30,13748.26,1646.96,11.98,69.63,0.25
2016-12-31,13912.74,1817.96,13.07,69.23,0.23
2017-03-31,14054.22,1756.96,12.5,69.9,0.23
2017-06-30,14093.28,1717.96,12.19,70.69,0.24
2017-09-30,14186.63,1801.94,12.7,70.59,0.24
2017-12-31,14466.59,1955.93,13.52,69.87,0.22
2018-03-31,14925.0,2288.97,15.34,68.82,0.23
2018-06-30,14962.62,2157.98,14.42,69.82,0.24
2018-09-30,15260.5,2239.94,14.68,69.45,0.23
2018-12-31,15689.54,2339.99,14.91,69.01,0.21
2019-03-31,15903.97,2480.03,15.59,68.95,0.22
2019-06-30,15897.93,2250.93,14.16,70.23,0.22
2019-09-30,16405.28,2376.96,14.49,69.98,0.22
2019-12-31,16740.13,2416.86,14.44,69.73,0.21
2020-03-31,17219.3,2657.44,15.43,69.12,0.21
2020-06-30,19958.81,5079.63,25.45,61.76,0.21
2020-09-30,20419.09,5028.96,24.63,63.32,0.2
2020-12-31,21024.53,4964.19,23.61,64.49,0.22
2021-03-31,21430.13,4669.06,21.79,66.66,0.2
2021-06-30,21778.5,4275.09,19.63,69.01,0.2
2021-09-30,21912.85,3714.12,16.95,71.83,0.22
2021-12-31,22619.9,3770.07,16.67,72.26,0.23
2022-03-31,23315.96,3928.96,16.85,72.52,0.22
2022-06-30,23342.63,3523.92,15.1,74.21,0.22
2022-09-30,23724.69,3644.62,15.36,74.37,0.21
2022-12-31,23829.02,3697.39,15.52,74.39,0.22
2023-03-31,24401.05,4068.83,16.67,74.0,0.21
2023-06-30,24904.81,4466.7,17.94,73.37,0.22
2023-09-30,25636.41,5260.41,20.52,71.83,0.19
2023-12-31,26253.03,5675.78,21.62,70.95,0.2
2024-03-31,26837.46,6062.86,22.59,70.49,0.19
2024-06-30,26962.28,5765.83,21.38,71.46,0.2
2024-09-30,27835.62,6004.76,21.57,71.08,0.19
2024-12-31,28460.8,6186.88,21.74,70.71,0.2
2025-03-31,28861.69,6155.95,21.33,71.17,0.19
2025-06-30,29064.16,5784.06,19.9,72.03,0.2
2025-09-30,30115.8,6397.04,21.24,70.82,0.19
2025-12-31,30725.24,6547.26,21.31,70.45,0.2
2026-03-31,31346.03,6819.56,21.76,70.31,0.19
2026-06-30,31708.88,6690.69,21.1,70.7,0.2
