week_ending,gross_bills,bill_redemptions,net_bills,coupon_settlements,total_gross
2026-10,3184.6,3016.5,168.2,371.0,3555.6
2026-11,2629.9,2456.2,173.7,371.0,3000.9
2026-12,2791.2,2970.2,-179.0,367.0,3158.2
2027-01,2463.6,2323.8,139.8,366.0,2829.6
2027-02,2609.1,2334.8,274.3,125.0,2734.1
2027-03,2319.1,2332.3,-13.2,598.0,2917.1
2027-04,2721.2,2917.2,-196.0,371.0,3092.2
2027-05,2393.1,2198.2,195.0,371.0,2764.1
2027-06,1998.8,2174.3,-175.5,367.0,2365.8
2027-07,2960.1,2620.6,339.6,366.0,3326.1
2027-08,2397.1,2188.8,208.3,360.0,2757.1
2027-09,2579.8,2768.1,-188.3,362.0,2941.8
2027-10,2370.3,2191.9,178.4,371.0,2741.3
2027-11,2528.6,2304.3,224.3,371.0,2899.6
2027-12,2852.5,2934.9,-82.4,367.0,3219.5
