month,dts_receipts,dts_outlays,mts_receipts,mts_outlays,mts_deficit,dts_implied_deficit,wedge,wedge_pct_outlays
2023-03,303620,604994.0,313240.36441240995,691316.68088415,378076.31647173996,301374.0,-76702.31647173996,-11.095105700855155
2023-04,645096,388597.0,638520.36115851,462339.57080939,-176180.79034911998,-256499.0,-80318.20965088002,-17.37212532128102
2023-05,314385,584539.0,307486.88035040995,547835.12000878,240348.23965837,270154.0,29805.760341629997,5.440644320348119
2023-06,428022,585020.0,418316.90236896,646085.3149070101,227768.41253804998,156998.0,-70770.41253804998,-10.953725600191957
2023-07,287080,403611.0,276160.85414385,496942.95149745,220782.0973536,116531.0,-104251.0973536,-20.978483956650894
2023-08,279162,534939.0,283130.20615726,193874.63346353,-89255.57269372999,255777.0,345032.57269373,177.96684719903521
2023-09,458860,598288.0,467472.68336996,638454.88424474,170982.20087477998,139428.0,-31554.200874779985,-4.942275743118015
2023-10,403196,428753.0,403433.5409198,469997.09204953,66563.55112973,25557.0,-41006.551129729996,-8.724852094490954
2023-11,280893,582203.0,274830.03578115,588842.03806824,314012.00228709,301310.0,-12702.00228709,-2.157115400381449
2023-12,425288,486909.0,429310.65456608,558676.06948587,129365.41491979,61621.0,-67744.41491979,-12.125884500858039
2024-01,470361,486524.0,477319.65545715997,499250.01178818,21930.35633102,16163.0,-5767.356331020001,-1.1552040450360477
2024-02,231338,536224.0,271126.06875909,567400.71683898,296274.64807989,304886.0,8611.351920109999,1.5176843568482439
2024-03,309408,464434.0,332091.00914801,568547.8330982099,236456.82395020002,155026.0,-81430.82395020002,-14.322598594115792
2024-04,772924,509317.0,776198.09317694,566668.78655161,-209529.30662532998,-263607.0,-54077.69337467002,-9.543086659802258
2024-05,319382,643223.0,323646.98697840003,670777.88067005,347130.89369165,323841.0,-23289.89369165001,-3.472072404710988
2024-06,461793,382402.0,466254.91840716,532220.2108835,65965.29247634,-79391.0,-145356.29247634,-27.311306392337976
2024-07,325213,535238.0,330377.42830009,574118.51559752,243741.08729743,210025.0,-33716.08729743,-5.872670255607349
2024-08,288906,639234.0,306539.73701932,686620.14245382,380080.4054345,350328.0,-29752.40543450002,-4.333168166050572
2024-09,519572,458805.0,527619.71097708,463356.70210934005,-64263.00886774,-60767.0,3496.008867739998,0.7544962340730386
2024-10,330328,524950.0,326770.23605809995,584220.57925001,257450.34319191,194622.0,-62828.34319191001,-10.754216031308852
2024-11,300025,656221.0,301754.29981279,668517.36418086,366763.06436807,356196.0,-10567.064368069987,-1.5806716376047913
2024-12,462814,522096.0,454414.70849146997,541146.32750476,86731.61901329,59282.0,-27449.619013289994,-5.072494742754868
2025-01,490778,617592.0,513294.34265193,641934.54932542,128640.20667349,126814.0,-1826.20667349,-0.28448487083442975
2025-02,244445,570014.0,296423.68382257,603440.87852184,307017.19469927,325569.0,18551.80530072999,3.074336850724069
2025-03,354774,451122.0,367635.17099032,528165.49248968,160530.32149936,96348.0,-64182.32149936,-12.151933894207238
2025-04,854204,548241.0,850169.3177728101,591769.36865785,-258399.94911495998,-305963.0,-47563.05088504002,-8.037430357862963
2025-05,370923,674643.0,371228.85711076,687232.6183002,316003.76118944,303720.0,-12283.761189439974,-1.7874240631683942
2025-06,526358,464999.0,526445.3517569699,499435.3296792,-27010.02207777,-61359.0,-34348.97792223,-6.877562695513195
2025-07,338938,572901.0,338491.84842317,629634.50871084,291142.66028767,233963.0,-57179.660287669976,-9.081405084474136
2025-08,326334,676330.0,344315.32201032003,689107.2138684399,344791.89185812,349996.0,5204.108141880017,0.7551957136924637
2025-09,539075,488065.0,543662.98746122,345713.35709905997,-197949.63036216,-51010.0,146939.63036216,42.503313032263385
2025-10,406407,635627.0,404371.3489737,688721.3997565,284350.0507828,229220.0,-55130.05078280001,-8.004695483876564
2025-11,334128,481117.0,336001.19570996,509278.37078688,173277.17507692002,146989.0,-26288.175076920015,-5.161847937170877
2025-12,482625,612923.0,484384.01553925,629133.25114853,144749.23560928,130298.0,-14451.235609280004,-2.2970071257397677
2026-01,548985,588111.0,559935.44593071,654550.60829992,94615.16236921001,39126.0,-55489.16236921001,-8.477444167889988
2026-02,259878,603403.0,313121.68524684,620623.11867301,307501.43342616997,343525.0,36023.56657383003,5.804419057229787
2026-03,371092,491689.0,384862.57703578996,548962.9158536501,164100.33881786,120597.0,-43503.33881786,-7.924640729185012
2026-04,830350,564014.0,837340.12424853,622315.98405076,-215024.14019777,-266336.0,-51311.85980223,-8.2453064226685
2026-05,349561,613562.0,335512.18322741997,628160.64531116,292648.46208374,264001.0,-28647.462083739985,-4.560531179018615
2026-06,539400,650252.0,495761.4815687,616066.75715507,120305.27558637,110852.0,-9453.27558637,-1.5344563680118386
