month,bucket,dts,mts,wedge
2023-03,income_payroll,270085,283072.23969675,-12987.23969675001
2023-04,income_payroll,537318,544182.75322577,-6864.753225769964
2023-05,income_payroll,285799,274393.5541363,11405.445863700006
2023-06,income_payroll,337949,329599.76396539004,8349.23603460996
2023-07,income_payroll,256515,250604.46962525,5910.53037475
2023-08,income_payroll,252898,251735.58640852,1162.413591479999
2023-09,income_payroll,342839,351406.65098474,-8567.650984740001
2023-10,income_payroll,332958,334118.72761654004,-1160.72761654004
2023-11,income_payroll,253429,248939.54964817,4489.45035182999
2023-12,income_payroll,314269,319140.59756094,-4871.597560940019
2024-01,income_payroll,434658,439102.60890648,-4444.608906480018
2024-02,income_payroll,208256,250093.84020779998,-41837.84020779998
2024-03,income_payroll,276035,300369.61061371,-24334.610613710014
2024-04,income_payroll,642342,663190.03336714,-20848.033367139986
2024-05,income_payroll,288177,272937.3021283,15239.697871699987
2024-06,income_payroll,361781,366402.71687591,-4621.716875910002
2024-07,income_payroll,283677,281383.516517,2293.483483000018
2024-08,income_payroll,262854,267237.55899716,-4383.558997159998
2024-09,income_payroll,390055,392709.41132314,-2654.411323140026
2024-10,income_payroll,289987,290322.85062523,-335.8506252299994
2024-11,income_payroll,273804,269936.49651121,3867.503488790011
2024-12,income_payroll,356613,348961.36210482003,7651.637895179971
2025-01,income_payroll,447797,468094.3830850801,-20297.383085080073
2025-02,income_payroll,215330,269384.63673779997,-54054.63673779997
2025-03,income_payroll,318025,330844.1791225601,-12819.179122560075
2025-04,income_payroll,700327,721436.0536444499,-21109.053644449916
2025-05,income_payroll,314965,290327.13726338,24637.86273662001
2025-06,income_payroll,419306,419326.84823411005,-20.848234110046178
2025-07,income_payroll,282894,276170.6210952,6723.378904799989
2025-08,income_payroll,279898,287185.1398731,-7287.139873099979
2025-09,income_payroll,427683,432348.55094154004,-4665.550941540045
2025-10,income_payroll,343319,344744.89172948,-1425.8917294800049
2025-11,income_payroll,282469,284745.83888512,-2276.8388851199998
2025-12,income_payroll,378699,385497.42516354995,-6798.425163549953
2026-01,income_payroll,479501,487107.96840683,-7606.968406829983
2026-02,income_payroll,219151,277769.28142543,-58618.281425429974
2026-03,income_payroll,321093,340223.48279187,-19130.482791870018
