month,model_deficit,actual_mts_deficit,phase
2022-10,67976.0,87797.83631138987,fit
2022-11,277010.0,248534.88065258,fit
2022-12,104557.0,85000.73657788004,fit
2023-01,26068.0,38783.7718392199,fit
2023-02,325325.0,262433.8431942299,fit
2023-03,320805.0,378076.31647173996,fit
2023-04,-252554.0,-176180.79034911992,fit
2023-05,244135.0,240348.23965836992,fit
2023-06,133118.0,227768.41253805003,fit
2023-07,157639.0,220782.09735360008,fit
2023-08,307377.0,-89255.57269373004,fit
2023-09,-7167.0,170982.20087478,fit
2023-10,75616.0,66563.55112973007,fit
2023-11,296784.0,314012.00228709006,fit
2023-12,98106.0,129365.41491978988,fit
2024-01,36844.0,21930.356331019895,fit
2024-02,345482.0,296274.64807988994,fit
2024-03,279414.0,236456.82395019982,fit
2024-04,-214462.0,-209529.30662533,fit
2024-05,336596.0,347130.89369165,fit
2024-06,24788.0,65965.29247634008,fit
2024-07,240985.0,243741.0872974301,fit
2024-08,420415.0,380080.40543450014,fit
2024-09,-186304.0,-64263.00886774005,fit
2024-10,141565.0,257450.34319191007,fit
2024-11,377391.0,366763.06436806987,fit
2024-12,29752.0,86731.61901328998,fit
2025-01,96350.0,128640.20667349006,fit
2025-02,343926.0,307017.19469927007,fit
2025-03,201506.0,160530.3214993599,fit
2025-04,-226200.0,-258399.9491149598,fit
2025-05,346572.0,316003.76118944,fit
2025-06,1587.0,-27010.02207777003,fit
2025-07,242638.0,291142.66028766986,fit
2025-08,423825.0,344791.8918581197,fit
2025-09,-203201.0,-197949.63036216004,fit
2025-10,225131.0,284350.0507828002,projection
2025-11,218542.0,173277.17507691996,projection
2025-12,123041.0,144749.23560928006,projection
2026-01,103609.0,94615.16236921004,projection
2026-02,354895.0,307501.43342617,projection
2026-03,201399.0,164100.33881786006,projection
2026-04,-226955.0,-215024.14019776997,projection
2026-05,276582.0,292648.46208374004,projection
2026-06,100437.0,120305.27558636997,projection
2026-07,336080.0,,projection
2026-08,266994.0,,projection
2026-09,-127052.0,,projection
