,BD1,BD2,BD3,OM,OT,W2,OR,OF,D15,D15P1,W4,OW,EOM1,EOMS,BD1S,W3,EOM
receipt:corporate,0.0305,0.0067,0.0036,0.0222,0.0151,0.0616,0.0274,0.0461,0.4998,0.032,0.0142,0.0132,0.0135,0.0335,0.0347,0.0092,0.0049
receipt:customs,0.0157,0.0146,0.0142,0.0865,0.0919,0.0147,0.0308,0.0605,0.0146,0.0149,0.1306,0.0153,0.0198,0.0193,0.0167,0.0226,0.0256
receipt:estate_gift,0.0415,0.033,0.0425,0.0504,0.0441,0.053,0.0533,0.0501,0.0513,0.0529,0.0506,0.0358,0.0495,0.0337,0.0224,0.042,0.0552
receipt:excise,0.0126,0.006,0.0055,0.0404,0.0438,0.0963,0.0434,0.0662,0.0272,0.0056,0.0502,0.0531,0.1228,0.1148,0.0196,0.0061,0.1138
receipt:income_payroll,0.0989,0.0427,0.0391,0.0813,0.0246,0.0335,0.0213,0.0369,0.1054,0.0798,0.0317,0.0394,0.0328,0.0448,0.1341,0.048,0.0445
receipt:misc_receipts,,0.012,0.0202,0.0896,0.0142,0.1316,0.1157,0.0344,0.0231,0.0217,0.0173,,0.012,,0.0347,0.0251,0.0443
outlay:defence,0.0818,0.0479,0.0324,0.0476,0.0542,0.0284,0.0448,0.0472,0.0884,0.0532,0.0344,0.0313,0.0405,0.0887,0.0147,0.0374,0.0269
outlay:education_training,0.0334,0.0416,0.0449,0.0473,0.0485,0.0515,0.0416,0.0487,0.0433,0.048,0.0579,0.0546,0.0547,0.0583,0.0383,0.0604,0.0529
outlay:health_550,0.0273,0.0395,0.0457,0.0417,0.0526,0.05,0.0711,0.0504,0.0429,0.0289,0.0498,0.03,0.0446,0.0327,0.0159,0.0531,0.0335
outlay:income_security_retirement,0.3529,0.0296,0.0304,0.0411,0.0302,0.0355,0.0303,0.027,0.0375,0.0299,0.0307,0.0234,0.0284,0.1862,0.2518,0.0291,0.0288
outlay:medicare_net,0.5032,0.0264,0.0284,0.0215,0.0245,0.0271,0.0282,0.0247,0.0249,0.0254,0.0335,0.0151,0.03,0.3502,0.1171,0.0316,0.0282
outlay:net_interest,0.0513,0.0007,0.0006,0.0008,0.0005,0.0007,0.0006,0.0004,0.5286,0.0009,0.0004,0.0005,-0.0005,0.2516,0.2105,0.0004,0.4106
outlay:nondefense_other,0.0885,0.0458,0.046,0.0447,0.0344,0.0375,0.0445,0.0674,0.065,0.0425,0.041,0.0268,0.0427,0.049,0.0797,0.0389,0.017
outlay:social_security,0.0635,0.0739,0.0745,0.0012,0.0036,0.2579,0.001,0.0009,0.0329,0.0571,0.239,0.0247,0.016,-0.0001,0.1168,0.2485,-0.0
outlay:veterans,0.4953,0.0192,0.0237,0.0275,0.0214,0.028,0.0261,0.0277,0.0279,0.0244,0.0291,0.0163,0.0281,0.4383,0.0438,0.0312,0.0359
