,primary_deficit,interest,redemptions,settlements,other_means,pre_bills,net_bills,tga
2026-10-01,52975.0,0.0,0.0,0.0,-1306.0,-54282.0,61367.0,957086.0
2026-10-02,6277.0,0.0,0.0,0.0,-1306.0,-7583.0,0.0,949502.0
2026-10-05,7140.0,0.0,0.0,0.0,-1306.0,-8447.0,0.0,941055.0
2026-10-06,1703.0,0.0,0.0,0.0,-1306.0,-3009.0,0.0,938046.0
2026-10-07,-3583.0,0.0,0.0,0.0,-1306.0,2276.0,0.0,940323.0
2026-10-08,5622.0,0.0,0.0,0.0,-1306.0,-6929.0,34442.0,967836.0
2026-10-09,-2254.0,0.0,0.0,0.0,-1306.0,947.0,0.0,968783.0
2026-10-13,1703.0,0.0,0.0,0.0,-1306.0,-3009.0,0.0,965774.0
2026-10-14,30596.0,0.0,0.0,0.0,-1306.0,-31903.0,0.0,933871.0
2026-10-15,-23460.0,12102.0,93948.0,119000.0,-1306.0,35104.0,-39534.0,929442.0
2026-10-16,-10214.0,0.0,0.0,0.0,-1306.0,8908.0,0.0,938349.0
2026-10-19,-20242.0,0.0,0.0,0.0,-1306.0,18936.0,0.0,957285.0
2026-10-20,1703.0,0.0,0.0,0.0,-1306.0,-3009.0,0.0,954276.0
2026-10-21,27163.0,0.0,0.0,0.0,-1306.0,-28469.0,0.0,925806.0
2026-10-22,5622.0,0.0,0.0,0.0,-1306.0,-6929.0,10449.0,929327.0
2026-10-23,-2254.0,0.0,0.0,0.0,-1306.0,947.0,0.0,930274.0
2026-10-26,-20242.0,0.0,0.0,0.0,-1306.0,18936.0,0.0,949210.0
2026-10-27,1703.0,0.0,0.0,0.0,-1306.0,-3009.0,0.0,946201.0
2026-10-28,27152.0,0.0,0.0,0.0,-1306.0,-28459.0,0.0,917742.0
2026-10-29,1349.0,0.0,0.0,0.0,-1306.0,-2656.0,101448.0,1016534.0
2026-10-30,42455.0,0.0,0.0,252000.0,-1306.0,208239.0,0.0,1224773.0
2026-11-02,9970.0,32855.0,240674.0,0.0,-1306.0,-284805.0,0.0,939967.0
2026-11-03,13340.0,0.0,0.0,0.0,-1306.0,-14647.0,0.0,925321.0
2026-11-04,14337.0,0.0,0.0,0.0,-1306.0,-15643.0,0.0,909677.0
2026-11-05,9962.0,0.0,0.0,0.0,-1306.0,-11269.0,3282.0,901691.0
2026-11-06,3566.0,0.0,0.0,0.0,-1306.0,-4872.0,0.0,896818.0
2026-11-09,-13909.0,0.0,0.0,0.0,-1306.0,12603.0,0.0,909421.0
2026-11-10,4889.0,0.0,0.0,0.0,-1306.0,-6195.0,0.0,903226.0
2026-11-12,9962.0,0.0,0.0,0.0,-1306.0,-11269.0,120007.0,1011964.0
2026-11-13,3566.0,0.0,0.0,0.0,-1306.0,-4872.0,0.0,1007092.0
2026-11-16,-9466.0,89875.0,111351.0,125000.0,-1306.0,-68067.0,0.0,939025.0
2026-11-17,-2088.0,0.0,0.0,0.0,-1306.0,782.0,0.0,939807.0
2026-11-18,43339.0,0.0,0.0,0.0,-1306.0,-44645.0,0.0,895161.0
2026-11-19,9962.0,0.0,0.0,0.0,-1306.0,-11269.0,50388.0,934281.0
2026-11-20,3566.0,0.0,0.0,0.0,-1306.0,-4872.0,0.0,929409.0
2026-11-23,-13909.0,0.0,0.0,0.0,-1306.0,12603.0,0.0,942012.0
2026-11-24,4889.0,0.0,0.0,0.0,-1306.0,-6195.0,0.0,935816.0
2026-11-25,39744.0,0.0,0.0,0.0,-1306.0,-41050.0,0.0,894766.0
