week_ending,receipts,outlays,deficit,cum_deficit
2026-07-03,53110.0,169174.0,116064.0,116064.0
2026-07-10,70453.0,115726.0,45273.0,161337.0
2026-07-17,110155.0,153787.0,43632.0,204969.0
2026-07-24,72254.0,113710.0,41456.0,246425.0
2026-07-31,75042.0,163823.0,88781.0,335206.0
2026-08-07,94882.0,162702.0,67821.0,403027.0
2026-08-14,79592.0,122648.0,43057.0,446084.0
2026-08-21,101709.0,182554.0,80845.0,526929.0
2026-08-28,79834.0,122198.0,42364.0,569293.0
2026-09-04,123777.0,185330.0,61554.0,630847.0
2026-09-11,75590.0,99006.0,23417.0,654264.0
2026-09-18,205913.0,81059.0,-124852.0,529412.0
2026-09-25,115244.0,109636.0,-5607.0,523805.0
2026-10-02,135403.0,152784.0,17383.0,541188.0
2026-10-09,71704.0,80622.0,8921.0,550109.0
2026-10-16,104545.0,163415.0,58870.0,608979.0
2026-10-23,93468.0,105769.0,12302.0,621281.0
2026-10-30,97449.0,178565.0,81115.0,702396.0
2026-11-06,98022.0,167460.0,69438.0,771834.0
2026-11-13,69043.0,73746.0,4704.0,776538.0
2026-11-20,102244.0,193146.0,90903.0,867441.0
2026-11-27,73687.0,110748.0,37060.0,904501.0
2026-12-04,110069.0,213516.0,103446.0,1007947.0
2026-12-11,100978.0,116530.0,15553.0,1023500.0
2026-12-18,183805.0,149858.0,-33947.0,989553.0
2026-12-25,78683.0,99110.0,20429.0,1009982.0
2027-01-01,85411.0,134570.0,49161.0,1059143.0
2027-01-08,161185.0,163809.0,2623.0,1061766.0
2027-01-15,171693.0,170320.0,-1376.0,1060390.0
2027-01-22,112115.0,112467.0,350.0,1060740.0
2027-01-29,138946.0,148502.0,9554.0,1070294.0
2027-02-05,80815.0,241647.0,160834.0,1231128.0
2027-02-12,75331.0,139273.0,63945.0,1295073.0
2027-02-19,82710.0,138894.0,56184.0,1351257.0
2027-02-26,82464.0,167035.0,84573.0,1435830.0
2027-03-05,80415.0,196458.0,116044.0,1551874.0
2027-03-12,75104.0,111667.0,36564.0,1588438.0
2027-03-19,104396.0,183967.0,79570.0,1668008.0
2027-03-26,76456.0,109873.0,33418.0,1701426.0
2027-04-02,161785.0,235324.0,73539.0,1774965.0
2027-04-09,134613.0,83995.0,-50618.0,1724347.0
2027-04-16,296412.0,189040.0,-107372.0,1616975.0
2027-04-23,174785.0,110135.0,-64649.0,1552326.0
2027-04-30,177776.0,203102.0,25326.0,1577652.0
2027-05-07,105534.0,154255.0,48718.0,1626370.0
2027-05-14,86170.0,117106.0,30935.0,1657305.0
2027-05-21,116468.0,180829.0,64360.0,1721665.0
2027-05-28,93258.0,147944.0,54687.0,1776352.0
2027-06-04,98207.0,177457.0,79250.0,1855602.0
2027-06-11,104935.0,124449.0,19515.0,1875117.0
2027-06-18,186676.0,154114.0,-32562.0,1842555.0
2027-06-25,103372.0,121909.0,18537.0,1861092.0
2027-07-02,121446.0,238544.0,117098.0,1978190.0
2027-07-09,52896.0,73179.0,20284.0,1998474.0
2027-07-16,125594.0,195999.0,70403.0,2068877.0
2027-07-23,84911.0,116136.0,31225.0,2100102.0
2027-07-30,88989.0,210271.0,121281.0,2221383.0
2027-08-06,96329.0,166391.0,70061.0,2291444.0
2027-08-13,80208.0,124009.0,43801.0,2335245.0
2027-08-20,103233.0,187608.0,84376.0,2419621.0
2027-08-27,82773.0,122824.0,40051.0,2459672.0
2027-09-03,118705.0,198425.0,79720.0,2539392.0
2027-09-10,79854.0,103240.0,23387.0,2562779.0
2027-09-17,221614.0,82767.0,-138848.0,2423931.0
2027-09-24,121031.0,114143.0,-6888.0,2417043.0
2027-10-01,145447.0,132818.0,-12631.0,2404412.0
2027-10-08,84748.0,88809.0,4059.0,2408471.0
2027-10-15,95110.0,156653.0,61543.0,2470014.0
2027-10-22,101679.0,113641.0,11962.0,2481976.0
2027-10-29,110177.0,143175.0,33000.0,2514976.0
2027-11-05,87297.0,224597.0,137299.0,2652275.0
2027-11-12,72284.0,105654.0,33370.0,2685645.0
2027-11-19,106641.0,198311.0,91671.0,2777316.0
2027-11-26,74841.0,104275.0,29434.0,2806750.0
2027-12-03,102579.0,234454.0,131875.0,2938625.0
2027-12-10,100601.0,117635.0,17034.0,2955659.0
2027-12-17,186062.0,154660.0,-31402.0,2924257.0
2027-12-24,98209.0,115109.0,16900.0,2941157.0
2027-12-31,101692.0,154874.0,53181.0,2994338.0
