week_ending,gross_bills,bill_redemptions,net_bills,coupon_settlements,total_gross
2026-10-02,648.5,587.1,61.4,243.0,891.5
2026-10-09,674.8,640.4,34.4,0.0,674.8
2026-10-16,499.3,538.8,-39.5,119.0,618.3
2026-10-23,551.3,540.8,10.4,0.0,551.3
2026-10-30,810.8,709.3,101.4,252.0,1062.8
2026-11-06,561.6,558.3,3.3,0.0,561.6
2026-11-13,748.8,628.7,120.0,0.0,748.8
2026-11-20,597.7,547.3,50.4,125.0,722.7
2026-11-27,721.9,721.9,0.0,0.0,721.9
2026-12-04,562.1,542.3,19.8,246.0,808.1
2026-12-11,431.5,588.5,-157.0,0.0,431.5
2026-12-18,544.7,531.4,13.3,119.0,663.7
2026-12-25,657.4,674.2,-16.8,0.0,657.4
2027-01-01,595.5,633.7,-38.2,248.0,843.5
2027-01-08,574.1,572.7,1.4,0.0,574.1
2027-01-15,495.8,516.0,-20.2,119.0,614.8
2027-01-22,591.3,592.8,-1.6,0.0,591.3
2027-01-29,802.4,642.2,160.2,247.0,1049.4
2027-02-05,669.7,599.3,70.3,0.0,669.7
2027-02-12,622.4,529.7,92.7,0.0,622.4
2027-02-19,659.2,593.9,65.3,125.0,784.2
2027-02-26,657.8,611.8,45.9,0.0,657.8
2027-03-05,587.5,544.6,42.9,236.0,823.5
2027-03-12,531.8,558.8,-27.0,0.0,531.8
2027-03-19,649.3,609.5,39.8,119.0,768.3
2027-03-26,550.4,619.3,-68.9,0.0,550.4
2027-04-02,656.7,646.8,9.9,243.0,899.7
2027-04-09,480.4,534.0,-53.7,0.0,480.4
2027-04-16,400.6,577.0,-176.4,119.0,519.6
2027-04-23,484.4,536.9,-52.5,0.0,484.4
2027-04-30,699.1,622.4,76.8,252.0,951.1
2027-05-07,546.4,509.4,37.0,0.0,546.4
2027-05-14,698.9,588.2,110.7,0.0,698.9
2027-05-21,541.2,507.3,33.8,125.0,666.2
2027-05-28,606.7,593.2,13.5,246.0,852.7
2027-06-04,533.8,501.4,32.5,0.0,533.8
2027-06-11,429.7,567.8,-138.1,0.0,429.7
2027-06-18,541.4,516.8,24.6,119.0,660.4
2027-06-25,493.9,588.3,-94.4,0.0,493.9
2027-07-02,638.9,524.2,114.6,248.0,886.9
2027-07-09,596.4,556.4,40.0,0.0,596.4
2027-07-16,483.8,478.6,5.2,119.0,602.8
2027-07-23,514.2,477.9,36.4,0.0,514.2
2027-07-30,726.8,583.5,143.4,247.0,973.8
2027-08-06,590.6,540.7,49.9,0.0,590.6
2027-08-13,683.3,569.3,114.0,0.0,683.3
2027-08-20,545.1,498.9,46.1,125.0,670.1
2027-08-27,578.1,579.9,-1.7,0.0,578.1
2027-09-03,562.5,513.9,48.7,235.0,797.5
2027-09-10,433.3,592.8,-159.5,0.0,433.3
2027-09-17,492.9,512.6,-19.7,119.0,611.9
2027-09-24,526.9,556.3,-29.5,0.0,526.9
2027-10-01,564.2,592.6,-28.4,243.0,807.2
2027-10-08,584.6,549.6,35.0,0.0,584.6
2027-10-15,499.3,505.5,-6.1,119.0,618.3
2027-10-22,518.4,511.2,7.2,0.0,518.4
2027-10-29,768.0,625.7,142.3,252.0,1020.0
2027-11-05,703.1,545.5,157.6,0.0,703.1
2027-11-12,582.8,582.8,0.0,0.0,582.8
2027-11-19,610.5,543.7,66.7,125.0,735.5
2027-11-26,632.2,632.2,0.0,0.0,632.2
2027-12-03,628.4,584.6,43.8,246.0,874.4
2027-12-10,426.7,554.1,-127.3,0.0,426.7
2027-12-17,577.8,569.1,8.7,119.0,696.8
2027-12-24,594.0,608.3,-14.3,0.0,594.0
2027-12-31,625.6,618.8,6.8,248.0,873.6
