month,withheld_income_share,nonwithheld_income_share,withheld_income_share_ttm,nonwithheld_income_share_ttm
2015-03,0.5958,0.8916,,
2015-04,0.5452,0.9043,,
2015-05,0.5406,0.8784,,
2015-06,0.5243,0.8736,,
2015-07,0.5877,0.9033,,
2015-08,0.5641,0.8719,,
2015-09,0.5279,0.8815,,
2015-10,0.5598,0.9828,,
2015-11,0.5444,0.973,,
2015-12,0.6075,0.9606,,
2016-01,0.5358,0.8824,,
2016-02,0.6222,0.9293,0.565,0.8991
2016-03,0.5937,0.9262,0.5649,0.9
2016-04,0.5262,0.9022,0.5634,0.899
2016-05,0.5601,0.9107,0.5648,0.8996
2016-06,0.4657,0.8745,0.5606,0.8999
2016-07,0.5518,0.8951,0.5577,0.8997
2016-08,0.5772,0.8909,0.5589,0.9
2016-09,0.5162,0.8786,0.5579,0.8997
2016-10,0.5836,0.9831,0.5598,0.8997
2016-11,0.5412,0.9725,0.5596,0.8997
2016-12,0.5909,0.9571,0.5579,0.8994
2017-01,0.5655,0.8791,0.5604,0.899
2017-02,0.5778,0.9195,0.5564,0.8989
2017-03,0.6009,0.8869,0.5575,0.8978
2017-04,0.5095,0.891,0.556,0.8931
2017-05,0.5554,0.9205,0.5557,0.8935
2017-06,0.4953,0.8682,0.5572,0.8926
2017-07,0.5699,0.8936,0.5587,0.8926
2017-08,0.5575,0.8859,0.5571,0.8925
2017-09,0.5222,0.874,0.5574,0.8919
2017-10,0.5874,0.9816,0.5578,0.8917
2017-11,0.5405,0.974,0.5577,0.8918
2017-12,0.6224,0.951,0.5613,0.8914
2018-01,0.5772,0.887,0.5624,0.8926
2018-02,0.5609,0.9444,0.561,0.8932
2018-03,0.5839,0.8962,0.5593,0.8934
2018-04,0.519,0.9128,0.5599,0.9031
2018-05,0.5194,0.9359,0.5572,0.9036
2018-06,0.5065,0.8784,0.5579,0.9046
2018-07,0.5523,0.909,0.5565,0.9048
2018-08,0.5393,0.8936,0.5551,0.9049
2018-09,0.4793,0.8849,0.552,0.906
2018-10,0.5747,0.9852,0.551,0.9067
2018-11,0.5141,0.974,0.549,0.9067
2018-12,0.591,0.9513,0.5456,0.9068
2019-01,0.5214,0.89,0.5405,0.907
2019-02,0.562,0.9244,0.5407,0.9066
2019-03,0.5778,0.8927,0.5402,0.9065
2019-04,0.5405,0.9113,0.5419,0.9059
2019-05,0.5374,0.889,0.5433,0.9048
2019-06,0.4281,0.872,0.5377,0.9041
2019-07,0.5783,0.918,0.5401,0.9043
2019-08,0.5281,0.884,0.5392,0.9041
2019-09,0.5218,0.8827,0.5421,0.9038
2019-10,0.5586,0.9844,0.5408,0.9037
2019-11,0.5308,0.9748,0.542,0.9038
2019-12,0.5852,0.9482,0.5416,0.9037
2020-01,0.5386,0.8931,0.543,0.904
2020-02,0.561,0.9435,0.543,0.9044
2020-03,0.5866,0.8794,0.5441,0.9041
2020-04,0.4407,0.0223,0.5369,0.8386
2020-05,0.4247,0.8955,0.5292,0.8389
2020-06,0.4089,0.7217,0.5276,0.8204
2020-07,0.5232,0.9964,0.5229,0.8958
2020-08,0.4728,0.9125,0.5188,0.8963
2020-09,0.4553,0.8775,0.5137,0.8956
2020-10,0.4863,0.9857,0.5081,0.8962
2020-11,0.4759,0.9775,0.5036,0.8964
2020-12,0.5427,0.961,0.4993,0.8974
2021-01,0.5326,0.9071,0.4986,0.8997
2021-02,0.5865,0.9442,0.5013,0.8998
2021-03,0.637,0.9116,0.5082,0.9007
2021-04,0.5442,0.8014,0.5164,0.9142
2021-05,0.5056,0.9943,0.5217,0.9328
2021-06,0.6105,0.9158,0.5392,0.9381
2021-07,0.5394,0.935,0.5404,0.9184
2021-08,0.5635,0.917,0.5469,0.9184
2021-09,0.5242,0.8988,0.5512,0.9202
2021-10,0.552,0.9866,0.5555,0.9205
2021-11,0.5743,0.9806,0.5626,0.9206
2021-12,0.6784,0.9635,0.5779,0.9208
2022-01,0.5666,0.9156,0.5803,0.9218
2022-02,0.5937,0.9626,0.581,0.9224
2022-03,0.6271,0.93,0.5803,0.9229
2022-04,0.5438,0.9422,0.5801,0.9439
2022-05,0.5466,0.9865,0.5824,0.9378
2022-06,0.4679,0.9024,0.5712,0.9366
2022-07,0.5402,0.9299,0.5711,0.9365
2022-08,0.5547,0.9212,0.5703,0.9365
2022-09,0.5002,0.9048,0.5684,0.9367
2022-10,0.5748,0.9898,0.57,0.9374
2022-11,0.5253,0.9824,0.5662,0.9375
2022-12,0.6315,0.964,0.5604,0.9375
2023-01,0.5435,0.9058,0.5583,0.9366
2023-02,0.5531,0.9594,0.5549,0.9365
2023-03,0.5998,0.9416,0.5525,0.9368
2023-04,0.5073,0.9115,0.5495,0.9253
2023-05,0.5328,0.9604,0.5484,0.9196
2023-06,0.3957,0.8817,0.5435,0.9179
2023-07,0.5453,0.9386,0.5439,0.9181
2023-08,0.5311,0.9108,0.542,0.9179
2023-09,0.5046,0.8828,0.5423,0.9153
2023-10,0.5811,0.9934,0.543,0.9183
2023-11,0.5236,0.9868,0.5428,0.9189
2023-12,0.5705,0.939,0.5363,0.918
2024-01,0.5432,0.8921,0.5363,0.916
2024-02,0.5666,0.9504,0.5376,0.9158
2024-03,0.5905,0.9087,0.5368,0.9148
2024-04,0.5655,0.9128,0.5418,0.9151
2024-05,0.4899,0.9501,0.5385,0.9146
2024-06,0.3815,0.8877,0.5372,0.9145
2024-07,0.5583,0.8735,0.5383,0.9136
2024-08,0.5113,0.9014,0.5368,0.9135
2024-09,0.514,0.8901,0.5373,0.914
2024-10,0.5537,0.9869,0.5351,0.9106
2024-11,0.5191,0.9802,0.5347,0.91
2024-12,0.5945,0.9447,0.5376,0.9102
2025-01,0.5551,0.8991,0.5388,0.911
2025-02,0.5702,0.9612,0.5392,0.9114
2025-03,0.6119,0.922,0.542,0.9119
2025-04,0.557,0.9251,0.5413,0.9175
2025-05,0.4686,0.9655,0.5397,0.9186
2025-06,0.4699,0.8985,0.5445,0.9196
2025-07,0.53,0.9331,0.5423,0.9203
2025-08,0.5356,0.9127,0.544,0.9204
2025-09,0.5448,0.9056,0.5464,0.9219
2025-10,0.5595,0.9925,0.5469,0.9242
2025-11,0.5061,0.9867,0.5459,0.9246
2025-12,0.606,0.9642,0.5474,0.9254
2026-01,0.5092,0.9126,0.5434,0.9266
2026-02,0.5671,0.952,0.5432,0.9264
2026-03,0.6167,0.9198,0.5443,0.9263
2026-04,0.4999,0.9223,0.5396,0.9251
2026-05,0.5117,0.9282,0.5423,0.9235
2026-06,0.5261,0.9008,0.5462,0.9237
